time,lon,lat,CAPE
01/01/1979 (00:00),-117.548,40.9774,0
01/01/1979 (00:00),-117.169,41.0173,0
01/01/1979 (00:00),-116.79,41.0556,0
01/01/1979 (00:00),-116.411,41.0926,0
01/01/1979 (00:00),-116.03,41.1281,0
01/01/1979 (00:00),-115.65,41.1621,0
01/01/1979 (00:00),-115.269,41.1947,10
01/01/1979 (00:00),-114.887,41.2258,20
01/01/1979 (00:00),-114.505,41.2555,10
01/01/1979 (00:00),-114.123,41.2837,10
01/01/1979 (00:00),-113.74,41.3104,10
01/01/1979 (00:00),-113.357,41.3356,10
01/01/1979 (00:00),-112.974,41.3594,10
01/01/1979 (00:00),-112.59,41.3817,10
01/01/1979 (00:00),-127.252,39.7256,0
01/01/1979 (00:00),-126.891,39.8019,0
01/01/1979 (00:00),-126.529,39.8768,0
01/01/1979 (00:00),-126.167,39.9504,0
01/01/1979 (00:00),-125.803,40.0227,0
01/01/1979 (00:00),-125.439,40.0936,0
01/01/1979 (00:00),-125.073,40.1632,0
01/01/1979 (00:00),-124.707,40.2314,0
01/01/1979 (00:00),-124.34,40.2982,0
01/01/1979 (00:00),-123.972,40.3637,0
01/01/1979 (00:00),-123.603,40.4278,0
01/01/1979 (00:00),-123.234,40.4906,0
01/01/1979 (00:00),-122.863,40.5519,0
01/01/1979 (00:00),-122.492,40.6119,0
01/01/1979 (00:00),-122.12,40.6705,0
01/01/1979 (00:00),-121.748,40.7277,0
01/01/1979 (00:00),-121.374,40.7835,0
01/01/1979 (00:00),-121,40.8378,0
01/01/1979 (00:00),-120.625,40.8908,0
01/01/1979 (00:00),-120.249,40.9424,0
01/01/1979 (00:00),-119.873,40.9925,0
01/01/1979 (00:00),-119.496,41.0412,0
01/01/1979 (00:00),-119.118,41.0885,0
01/01/1979 (00:00),-118.74,41.1343,20
01/01/1979 (00:00),-118.361,41.1787,20
01/01/1979 (00:00),-117.982,41.2217,20
01/01/1979 (00:00),-117.602,41.2632,0
01/01/1979 (00:00),-117.221,41.3032,0
01/01/1979 (00:00),-116.84,41.3419,0
01/01/1979 (00:00),-116.459,41.379,0
01/01/1979 (00:00),-116.077,41.4147,0
01/01/1979 (00:00),-115.694,41.4489,0
01/01/1979 (00:00),-115.311,41.4817,0
01/01/1979 (00:00),-114.928,41.513,0
01/01/1979 (00:00),-114.544,41.5428,10
01/01/1979 (00:00),-114.16,41.5712,10
01/01/1979 (00:00),-113.775,41.5981,10
01/01/1979 (00:00),-113.39,41.6235,10
01/01/1979 (00:00),-113.005,41.6474,10
01/01/1979 (00:00),-112.619,41.6698,0
01/01/1979 (00:00),-127.352,40.0028,0
01/01/1979 (00:00),-126.99,40.0794,0
01/01/1979 (00:00),-126.627,40.1548,0
01/01/1979 (00:00),-126.262,40.2288,0
01/01/1979 (00:00),-125.897,40.3015,0
01/01/1979 (00:00),-125.531,40.3728,0
01/01/1979 (00:00),-125.164,40.4428,0
01/01/1979 (00:00),-124.796,40.5114,0
01/01/1979 (00:00),-124.427,40.5786,0
01/01/1979 (00:00),-124.058,40.6445,0
01/01/1979 (00:00),-123.687,40.7089,0
01/01/1979 (00:00),-123.316,40.772,0
01/01/1979 (00:00),-122.944,40.8338,0
01/01/1979 (00:00),-122.571,40.8941,0
01/01/1979 (00:00),-122.197,40.953,0
01/01/1979 (00:00),-121.822,41.0105,0
01/01/1979 (00:00),-121.447,41.0666,0
01/01/1979 (00:00),-121.071,41.1213,0
01/01/1979 (00:00),-120.694,41.1746,0
01/01/1979 (00:00),-120.317,41.2264,0
01/01/1979 (00:00),-119.939,41.2768,0
01/01/1979 (00:00),-119.56,41.3258,0
01/01/1979 (00:00),-119.181,41.3734,0
01/01/1979 (00:00),-118.8,41.4195,10
01/01/1979 (00:00),-118.42,41.4641,20
01/01/1979 (00:00),-118.038,41.5073,0
01/01/1979 (00:00),-117.657,41.5491,0
01/01/1979 (00:00),-117.274,41.5894,0
01/01/1979 (00:00),-116.891,41.6282,0
01/01/1979 (00:00),-116.508,41.6656,0
01/01/1979 (00:00),-116.124,41.7015,0
01/01/1979 (00:00),-115.739,41.7359,0
01/01/1979 (00:00),-115.354,41.7689,0
01/01/1979 (00:00),-114.969,41.8004,0
01/01/1979 (00:00),-114.583,41.8304,0
01/01/1979 (00:00),-114.197,41.8589,0
01/01/1979 (00:00),-113.81,41.8859,0
01/01/1979 (00:00),-113.423,41.9115,0
01/01/1979 (00:00),-113.036,41.9356,0
01/01/1979 (00:00),-112.648,41.9581,0
01/01/1979 (00:00),-127.454,40.28,0
01/01/1979 (00:00),-127.09,40.3571,0
01/01/1979 (00:00),-126.725,40.4329,0
01/01/1979 (00:00),-126.359,40.5073,0
01/01/1979 (00:00),-125.992,40.5804,0
01/01/1979 (00:00),-125.624,40.6521,0
01/01/1979 (00:00),-125.256,40.7225,0
01/01/1979 (00:00),-124.886,40.7915,0
01/01/1979 (00:00),-124.515,40.8591,0
01/01/1979 (00:00),-124.144,40.9253,0
01/01/1979 (00:00),-123.772,40.9902,0
01/01/1979 (00:00),-123.399,41.0537,0
01/01/1979 (00:00),-123.025,41.1157,0
01/01/1979 (00:00),-122.65,41.1764,0
01/01/1979 (00:00),-122.274,41.2356,0
01/01/1979 (00:00),-121.898,41.2935,0
01/01/1979 (00:00),-121.521,41.3499,0
01/01/1979 (00:00),-121.143,41.4049,0
01/01/1979 (00:00),-120.765,41.4585,0
01/01/1979 (00:00),-120.385,41.5106,0
01/01/1979 (00:00),-120.005,41.5613,0
01/01/1979 (00:00),-119.625,41.6106,0
01/01/1979 (00:00),-119.243,41.6584,0
01/01/1979 (00:00),-118.861,41.7048,0
01/01/1979 (00:00),-118.479,41.7497,0
01/01/1979 (00:00),-118.095,41.7932,0
01/01/1979 (00:00),-117.712,41.8352,0
01/01/1979 (00:00),-117.327,41.8757,0
01/01/1979 (00:00),-116.942,41.9148,0
01/01/1979 (00:00),-116.557,41.9524,0
01/01/1979 (00:00),-116.171,41.9885,0
01/01/1979 (00:00),-115.785,42.0231,0
01/01/1979 (00:00),-115.398,42.0563,0
01/01/1979 (00:00),-115.01,42.0879,0
01/01/1979 (00:00),-114.622,42.1181,0
01/01/1979 (00:00),-114.234,42.1468,0
01/01/1979 (00:00),-113.846,42.174,0
01/01/1979 (00:00),-113.457,42.1997,0
01/01/1979 (00:00),-113.067,42.2239,0
01/01/1979 (00:00),-112.678,42.2466,0
01/01/1979 (00:00),-127.556,40.5573,0
01/01/1979 (00:00),-127.191,40.6349,0
01/01/1979 (00:00),-126.824,40.7111,0
01/01/1979 (00:00),-126.456,40.7859,0
01/01/1979 (00:00),-126.088,40.8594,0
01/01/1979 (00:00),-125.718,40.9316,0
01/01/1979 (00:00),-125.348,41.0023,0
01/01/1979 (00:00),-124.977,41.0717,0
01/01/1979 (00:00),-124.604,41.1397,0
01/01/1979 (00:00),-124.231,41.2063,0
01/01/1979 (00:00),-123.857,41.2716,0
01/01/1979 (00:00),-123.482,41.3354,0
01/01/1979 (00:00),-123.107,41.3978,0
01/01/1979 (00:00),-122.73,41.4588,0
01/01/1979 (00:00),-122.353,41.5184,0
01/01/1979 (00:00),-121.975,41.5766,0
01/01/1979 (00:00),-121.596,41.6334,0
01/01/1979 (00:00),-121.216,41.6887,0
01/01/1979 (00:00),-120.835,41.7426,0
01/01/1979 (00:00),-120.454,41.795,0
01/01/1979 (00:00),-120.072,41.846,0
01/01/1979 (00:00),-119.69,41.8956,0
01/01/1979 (00:00),-119.307,41.9437,0
01/01/1979 (00:00),-118.923,41.9903,0
01/01/1979 (00:00),-118.538,42.0355,0
01/01/1979 (00:00),-118.153,42.0792,0
01/01/1979 (00:00),-117.767,42.1214,0
01/01/1979 (00:00),-117.381,42.1622,0
01/01/1979 (00:00),-116.994,42.2015,0
01/01/1979 (00:00),-116.607,42.2393,0
01/01/1979 (00:00),-116.219,42.2756,0
01/01/1979 (00:00),-115.83,42.3105,0
01/01/1979 (00:00),-115.441,42.3438,0
01/01/1979 (00:00),-115.052,42.3757,0
01/01/1979 (00:00),-114.662,42.406,0
01/01/1979 (00:00),-114.272,42.4349,0
01/01/1979 (00:00),-113.881,42.4622,0
01/01/1979 (00:00),-113.49,42.4881,0
01/01/1979 (00:00),-113.099,42.5124,0
01/01/1979 (00:00),-112.707,42.5352,0
01/01/1979 (00:00),-127.66,40.8348,0
01/01/1979 (00:00),-127.292,40.9128,0
01/01/1979 (00:00),-126.924,40.9894,0
01/01/1979 (00:00),-126.555,41.0647,0
01/01/1979 (00:00),-126.185,41.1386,0
01/01/1979 (00:00),-125.813,41.2111,0
01/01/1979 (00:00),-125.441,41.2823,0
01/01/1979 (00:00),-125.068,41.3521,0
01/01/1979 (00:00),-124.694,41.4205,0
01/01/1979 (00:00),-124.319,41.4875,0
01/01/1979 (00:00),-123.943,41.5531,0
01/01/1979 (00:00),-123.567,41.6172,0
01/01/1979 (00:00),-123.189,41.68,0
01/01/1979 (00:00),-122.811,41.7414,0
01/01/1979 (00:00),-122.432,41.8013,0
01/01/1979 (00:00),-122.052,41.8598,0
01/01/1979 (00:00),-121.671,41.9169,0
01/01/1979 (00:00),-121.289,41.9726,0
01/01/1979 (00:00),-120.907,42.0268,0
01/01/1979 (00:00),-120.524,42.0795,0
01/01/1979 (00:00),-120.14,42.1308,0
01/01/1979 (00:00),-119.756,42.1806,0
01/01/1979 (00:00),-119.371,42.229,0
01/01/1979 (00:00),-118.985,42.2759,0
01/01/1979 (00:00),-118.598,42.3214,0
01/01/1979 (00:00),-118.211,42.3653,0
01/01/1979 (00:00),-117.824,42.4078,0
01/01/1979 (00:00),-117.435,42.4488,0
01/01/1979 (00:00),-117.046,42.4884,0
01/01/1979 (00:00),-116.657,42.5264,0
01/01/1979 (00:00),-116.267,42.5629,0
01/01/1979 (00:00),-115.877,42.598,0
01/01/1979 (00:00),-115.486,42.6315,0
01/01/1979 (00:00),-115.094,42.6635,0
01/01/1979 (00:00),-114.703,42.6941,0
01/01/1979 (00:00),-114.31,42.7231,0
01/01/1979 (00:00),-113.918,42.7506,0
01/01/1979 (00:00),-113.525,42.7766,0
01/01/1979 (00:00),-113.131,42.8011,0
01/01/1979 (00:00),-112.738,42.8241,0
01/01/1979 (00:00),-127.764,41.1123,0
01/01/1979 (00:00),-127.395,41.1907,0
01/01/1979 (00:00),-127.025,41.2678,0
01/01/1979 (00:00),-126.654,41.3435,0
01/01/1979 (00:00),-126.282,41.4178,0
01/01/1979 (00:00),-125.909,41.4908,0
01/01/1979 (00:00),-125.536,41.5624,0
01/01/1979 (00:00),-125.161,41.6325,0
01/01/1979 (00:00),-124.785,41.7013,0
01/01/1979 (00:00),-124.408,41.7687,0
01/01/1979 (00:00),-124.031,41.8347,0
01/01/1979 (00:00),-123.652,41.8992,0
01/01/1979 (00:00),-123.273,41.9624,0
01/01/1979 (00:00),-122.893,42.0241,0
01/01/1979 (00:00),-122.512,42.0844,0
01/01/1979 (00:00),-122.13,42.1432,0
01/01/1979 (00:00),-121.747,42.2006,0
01/01/1979 (00:00),-121.364,42.2566,0
01/01/1979 (00:00),-120.979,42.3111,0
01/01/1979 (00:00),-120.594,42.3641,0
01/01/1979 (00:00),-120.209,42.4157,0
01/01/1979 (00:00),-119.822,42.4659,0
01/01/1979 (00:00),-119.435,42.5145,0
01/01/1979 (00:00),-119.048,42.5617,0
01/01/1979 (00:00),-118.659,42.6074,0
01/01/1979 (00:00),-118.27,42.6516,0
01/01/1979 (00:00),-117.88,42.6944,0
01/01/1979 (00:00),-117.49,42.7356,0
01/01/1979 (00:00),-117.099,42.7754,0
01/01/1979 (00:00),-116.708,42.8136,0
01/01/1979 (00:00),-116.316,42.8504,0
01/01/1979 (00:00),-115.924,42.8856,0
01/01/1979 (00:00),-115.531,42.9194,0
01/01/1979 (00:00),-115.137,42.9516,0
01/01/1979 (00:00),-114.743,42.9823,0
01/01/1979 (00:00),-114.349,43.0115,0
01/01/1979 (00:00),-113.954,43.0392,0
01/01/1979 (00:00),-113.559,43.0653,0
01/01/1979 (00:00),-113.164,43.09,0
01/01/1979 (00:00),-112.768,43.113,0
01/01/1979 (00:00),-127.87,41.3899,0
01/01/1979 (00:00),-127.499,41.4688,0
01/01/1979 (00:00),-127.127,41.5463,0
01/01/1979 (00:00),-126.755,41.6224,0
01/01/1979 (00:00),-126.381,41.6972,0
01/01/1979 (00:00),-126.006,41.7705,0
01/01/1979 (00:00),-125.631,41.8425,0
01/01/1979 (00:00),-125.254,41.9131,0
01/01/1979 (00:00),-124.877,41.9823,0
01/01/1979 (00:00),-124.498,42.05,0
01/01/1979 (00:00),-124.119,42.1164,0
01/01/1979 (00:00),-123.738,42.1813,0
01/01/1979 (00:00),-123.357,42.2448,0
01/01/1979 (00:00),-122.975,42.3069,0
01/01/1979 (00:00),-122.592,42.3675,0
01/01/1979 (00:00),-122.209,42.4267,0
01/01/1979 (00:00),-121.824,42.4844,0
01/01/1979 (00:00),-121.439,42.5407,0
01/01/1979 (00:00),-121.053,42.5956,0
01/01/1979 (00:00),-120.666,42.6489,0
01/01/1979 (00:00),-120.278,42.7008,0
01/01/1979 (00:00),-119.89,42.7512,0
01/01/1979 (00:00),-119.501,42.8002,0
01/01/1979 (00:00),-119.111,42.8476,0
01/01/1979 (00:00),-118.721,42.8936,0
01/01/1979 (00:00),-118.33,42.9381,0
01/01/1979 (00:00),-117.938,42.9811,0
01/01/1979 (00:00),-117.546,43.0225,0
01/01/1979 (00:00),-117.153,43.0625,0
01/01/1979 (00:00),-116.759,43.101,0
01/01/1979 (00:00),-116.365,43.138,0
01/01/1979 (00:00),-115.971,43.1734,0
01/01/1979 (00:00),-115.576,43.2074,0
01/01/1979 (00:00),-115.18,43.2398,0
01/01/1979 (00:00),-114.785,43.2707,0
01/01/1979 (00:00),-114.388,43.3,0
01/01/1979 (00:00),-113.991,43.3279,0
01/01/1979 (00:00),-113.594,43.3542,0
01/01/1979 (00:00),-113.197,43.379,0
01/01/1979 (00:00),-112.799,43.4022,0
01/01/1979 (00:00),-127.976,41.6676,0
01/01/1979 (00:00),-127.604,41.7469,0
01/01/1979 (00:00),-127.231,41.8249,0
01/01/1979 (00:00),-126.856,41.9014,0
01/01/1979 (00:00),-126.481,41.9766,0
01/01/1979 (00:00),-126.104,42.0504,0
01/01/1979 (00:00),-125.727,42.1228,0
01/01/1979 (00:00),-125.348,42.1938,0
01/01/1979 (00:00),-124.969,42.2633,0
01/01/1979 (00:00),-124.589,42.3315,0
01/01/1979 (00:00),-124.208,42.3982,0
01/01/1979 (00:00),-123.825,42.4635,0
01/01/1979 (00:00),-123.442,42.5274,0
01/01/1979 (00:00),-123.059,42.5898,0
01/01/1979 (00:00),-122.674,42.6508,0
01/01/1979 (00:00),-122.288,42.7103,0
01/01/1979 (00:00),-121.902,42.7684,0
01/01/1979 (00:00),-121.514,42.825,0
01/01/1979 (00:00),-121.126,42.8801,0
01/01/1979 (00:00),-120.738,42.9338,0
01/01/1979 (00:00),-120.348,42.986,0
01/01/1979 (00:00),-119.958,43.0367,0
01/01/1979 (00:00),-119.567,43.0859,0
01/01/1979 (00:00),-119.175,43.1337,0
01/01/1979 (00:00),-118.783,43.1799,0
01/01/1979 (00:00),-118.39,43.2246,0
01/01/1979 (00:00),-117.996,43.2679,0
01/01/1979 (00:00),-117.602,43.3096,0
01/01/1979 (00:00),-117.207,43.3498,0
01/01/1979 (00:00),-116.811,43.3885,0
01/01/1979 (00:00),-116.415,43.4257,0
01/01/1979 (00:00),-116.019,43.4614,0
01/01/1979 (00:00),-115.622,43.4955,0
01/01/1979 (00:00),-115.224,43.5281,0
01/01/1979 (00:00),-114.826,43.5592,0
01/01/1979 (00:00),-114.428,43.5887,0
01/01/1979 (00:00),-114.029,43.6167,0
01/01/1979 (00:00),-113.63,43.6432,0
01/01/1979 (00:00),-113.23,43.6681,0
01/01/1979 (00:00),-112.83,43.6915,0
01/01/1979 (00:00),-128.084,41.9454,0
01/01/1979 (00:00),-127.71,42.0251,0
01/01/1979 (00:00),-127.335,42.1035,0
01/01/1979 (00:00),-126.959,42.1805,0
01/01/1979 (00:00),-126.581,42.2561,0
01/01/1979 (00:00),-126.203,42.3303,0
01/01/1979 (00:00),-125.824,42.4031,0
01/01/1979 (00:00),-125.444,42.4745,0
01/01/1979 (00:00),-125.063,42.5445,0
01/01/1979 (00:00),-124.681,42.613,0
01/01/1979 (00:00),-124.297,42.6801,0
01/01/1979 (00:00),-123.913,42.7458,0
01/01/1979 (00:00),-123.529,42.81,0
01/01/1979 (00:00),-123.143,42.8728,0
01/01/1979 (00:00),-122.756,42.9341,0
01/01/1979 (00:00),-122.369,42.994,0
01/01/1979 (00:00),-121.98,43.0524,0
01/01/1979 (00:00),-121.591,43.1094,0
01/01/1979 (00:00),-121.201,43.1648,0
01/01/1979 (00:00),-120.81,43.2188,0
01/01/1979 (00:00),-120.419,43.2713,0
01/01/1979 (00:00),-120.026,43.3223,0
01/01/1979 (00:00),-119.633,43.3718,0
01/01/1979 (00:00),-119.24,43.4198,0
01/01/1979 (00:00),-118.845,43.4663,0
01/01/1979 (00:00),-118.45,43.5113,0
01/01/1979 (00:00),-118.055,43.5548,0
01/01/1979 (00:00),-117.658,43.5968,0
01/01/1979 (00:00),-117.261,43.6372,0
01/01/1979 (00:00),-116.864,43.6762,0
01/01/1979 (00:00),-116.466,43.7136,0
01/01/1979 (00:00),-116.067,43.7494,0
01/01/1979 (00:00),-115.668,43.7838,0
01/01/1979 (00:00),-115.268,43.8166,0
01/01/1979 (00:00),-114.868,43.8478,0
01/01/1979 (00:00),-114.468,43.8775,0
01/01/1979 (00:00),-114.067,43.9057,0
01/01/1979 (00:00),-113.665,43.9323,0
01/01/1979 (00:00),-113.263,43.9574,0
01/01/1979 (00:00),-112.861,43.9809,0
01/01/1979 (00:00),-128.193,42.2232,0
01/01/1979 (00:00),-127.817,42.3034,0
01/01/1979 (00:00),-127.44,42.3822,0
01/01/1979 (00:00),-127.062,42.4597,0
01/01/1979 (00:00),-126.683,42.5357,0
01/01/1979 (00:00),-126.303,42.6103,0
01/01/1979 (00:00),-125.922,42.6835,0
01/01/1979 (00:00),-125.54,42.7553,0
01/01/1979 (00:00),-125.157,42.8257,0
01/01/1979 (00:00),-124.773,42.8946,0
01/01/1979 (00:00),-124.388,42.9621,0
01/01/1979 (00:00),-124.002,43.0282,0
01/01/1979 (00:00),-123.616,43.0928,0
01/01/1979 (00:00),-123.228,43.1559,0
01/01/1979 (00:00),-122.839,43.2176,0
01/01/1979 (00:00),-122.45,43.2778,0
01/01/1979 (00:00),-122.06,43.3366,0
01/01/1979 (00:00),-121.668,43.3938,0
01/01/1979 (00:00),-121.276,43.4496,0
01/01/1979 (00:00),-120.884,43.5039,0
01/01/1979 (00:00),-120.49,43.5567,0
01/01/1979 (00:00),-120.096,43.608,0
01/01/1979 (00:00),-119.701,43.6578,0
01/01/1979 (00:00),-119.305,43.7061,0
01/01/1979 (00:00),-118.909,43.7529,0
01/01/1979 (00:00),-118.512,43.7981,0
01/01/1979 (00:00),-118.114,43.8419,0
01/01/1979 (00:00),-117.715,43.8841,0
01/01/1979 (00:00),-117.316,43.9248,0
01/01/1979 (00:00),-116.917,43.964,0
01/01/1979 (00:00),-116.517,44.0016,0
01/01/1979 (00:00),-116.116,44.0377,0
01/01/1979 (00:00),-115.715,44.0722,0
01/01/1979 (00:00),-115.313,44.1052,0
01/01/1979 (00:00),-114.911,44.1366,0
01/01/1979 (00:00),-114.508,44.1665,0
01/01/1979 (00:00),-114.105,44.1948,0
01/01/1979 (00:00),-113.701,44.2216,0
01/01/1979 (00:00),-113.297,44.2468,0
01/01/1979 (00:00),-112.893,44.2705,0
01/01/1979 (00:00),-128.302,42.5011,0
01/01/1979 (00:00),-127.925,42.5817,0
01/01/1979 (00:00),-127.546,42.661,0
01/01/1979 (00:00),-127.167,42.7389,0
01/01/1979 (00:00),-126.786,42.8153,0
01/01/1979 (00:00),-126.404,42.8904,0
01/01/1979 (00:00),-126.021,42.964,0
01/01/1979 (00:00),-125.637,43.0362,0
01/01/1979 (00:00),-125.253,43.107,0
01/01/1979 (00:00),-124.867,43.1763,0
01/01/1979 (00:00),-124.48,43.2442,0
01/01/1979 (00:00),-124.092,43.3106,0
01/01/1979 (00:00),-123.704,43.3756,0
01/01/1979 (00:00),-123.314,43.4391,0
01/01/1979 (00:00),-122.923,43.5011,0
01/01/1979 (00:00),-122.532,43.5617,0
01/01/1979 (00:00),-122.14,43.6208,0
01/01/1979 (00:00),-121.747,43.6784,0
01/01/1979 (00:00),-121.353,43.7345,0
01/01/1979 (00:00),-120.958,43.7891,0
01/01/1979 (00:00),-120.562,43.8422,0
01/01/1979 (00:00),-120.166,43.8938,0
01/01/1979 (00:00),-119.769,43.9439,0
01/01/1979 (00:00),-119.371,43.9925,0
01/01/1979 (00:00),-118.973,44.0395,0
01/01/1979 (00:00),-118.574,44.0851,0
01/01/1979 (00:00),-118.174,44.1291,0
01/01/1979 (00:00),-117.773,44.1715,0
01/01/1979 (00:00),-117.372,44.2125,0
01/01/1979 (00:00),-116.97,44.2518,0
01/01/1979 (00:00),-116.568,44.2897,0
01/01/1979 (00:00),-116.165,44.326,0
01/01/1979 (00:00),-115.762,44.3607,0
01/01/1979 (00:00),-115.358,44.3939,0
01/01/1979 (00:00),-114.954,44.4255,0
01/01/1979 (00:00),-114.549,44.4556,0
01/01/1979 (00:00),-114.143,44.4841,0
01/01/1979 (00:00),-113.738,44.511,0
01/01/1979 (00:00),-113.332,44.5364,0
01/01/1979 (00:00),-112.925,44.5602,0
01/01/1979 (00:00),-128.413,42.779,0
01/01/1979 (00:00),-128.034,42.8601,0
01/01/1979 (00:00),-127.654,42.9398,0
01/01/1979 (00:00),-127.272,43.0181,0
01/01/1979 (00:00),-126.89,43.095,0
01/01/1979 (00:00),-126.506,43.1705,0
01/01/1979 (00:00),-126.121,43.2445,0
01/01/1979 (00:00),-125.736,43.3172,0
01/01/1979 (00:00),-125.349,43.3883,0
01/01/1979 (00:00),-124.961,43.4581,0
01/01/1979 (00:00),-124.573,43.5263,0
01/01/1979 (00:00),-124.183,43.5932,0
01/01/1979 (00:00),-123.792,43.6585,0
01/01/1979 (00:00),-123.401,43.7224,0
01/01/1979 (00:00),-123.008,43.7848,0
01/01/1979 (00:00),-122.615,43.8457,0
01/01/1979 (00:00),-122.221,43.9051,0
01/01/1979 (00:00),-121.826,43.9631,0
01/01/1979 (00:00),-121.43,44.0195,0
01/01/1979 (00:00),-121.033,44.0744,0
01/01/1979 (00:00),-120.635,44.1278,0
01/01/1979 (00:00),-120.237,44.1797,0
01/01/1979 (00:00),-119.838,44.2301,0
01/01/1979 (00:00),-119.438,44.279,0
